#gdb
#training_size inreact_mean inreact_std equireact_mean equireact_std
0.1	9.699274307706503 0.5024727946253165	9.730888164069368 0.5049425685022461	
0.2	7.790422132886064 0.3634997174165155	7.952785901702614 0.2796951918118089	
0.4	6.292915284504252 0.326286890185539	6.252685081159794 0.2842946625457378	
0.8	4.927136126264077 0.21550055367576393	4.934675048321623 0.17680042171405216	


#proparg
#training_size inreact_mean inreact_std equireact_mean equireact_std
0.1	0.9389208112846317 0.21737858562981666	0.9175845853672732 0.19872278061549556	
0.2	0.6385439401234296 0.08427836560890993	0.6100276391517087 0.10153660243786783	
0.4	0.4528436298790278 0.07520733865757553	0.4410659097813583 0.07894376602236033	
0.8	0.3386419802736419 0.0527843390643778	0.3195036459125717 0.04196316562896813	


